phone_names,ratings,reviews,price,offer,ram,rom,screen_size,expandable,rear_camera,front_camera,battery,processor
REDMI 12C Royal Blue,"10,257",579,"₹13,999","₹6,799",4 GB RAM ,64 GB ROM,17.04 cm (6.71 inch) HD+ Display,yes,50MP Rear Camera , 5MP Front Camera,5000 mAh Battery,Helio G85 Processor
realme C53 Champion Black,"17,332","1,274","₹11,999","₹9,999",4 GB RAM ,128 GB ROM,17.12 cm (6.74 inch) HD Display,yes,108MP + 2MP , 8MP Front Camera,5000 mAh Battery,T612 Processor
OnePlus Nord CE 3 Lite 5G Pastel Lime,"26,063","1,869","₹21,999","₹21,799",8 GB RAM ,256 GB ROM,17.07 cm (6.72 inch) Display,,108MP Rear Camera,,5000 mAh Battery,
OnePlus Nord CE 3 Lite 5G Chromatic Gray,"26,063","1,869","₹21,999","₹21,797",8 GB RAM ,256 GB ROM,17.07 cm (6.72 inch) Display,,108MP Rear Camera,,5000 mAh Battery,
APPLE iPhone 14 Blue,"2,35,894","9,062","₹69,900","₹60,999",128 GB ROM,,15.49 cm (6.1 inch) Super Retina XDR Display,,12MP + 12MP , 12MP Front Camera,,
SAMSUNG Galaxy F14 5G B.A.E. Purple,"28,278","1,867","₹17,490","₹13,990",4 GB RAM ,128 GB ROM,16.76 cm (6.6 inch) ,yes,50MP + 2MP , 13MP Front Camera,6000 mAh Battery,"Exynos 1330, Octa Core Processor"
POCO C50 Royal Blue,"21,803","1,355","₹9,999","₹5,799",3 GB RAM ,32 GB ROM,16.56 cm (6.52 inch) HD+ Display,yes,8MP Dual Camera , 5MP Front Camera,5000 mAh Lithium Polymer Battery,"Mediatek Helio A22 Processor, Upto 2.0 GHz Processor"
OnePlus Nord CE 3 Lite 5G Chromatic Gray,"26,063","1,869","₹19,999","₹19,871",8 GB RAM ,128 GB ROM,17.07 cm (6.72 inch) Display,,108MP Rear Camera,,5000 mAh Battery,
MOTOROLA Edge 40 Neo Soothing Sea,"10,720","1,642","₹27,999","₹22,999",8 GB RAM ,128 GB ROM,16.64 cm (6.55 inch) ,,50MP + 13MP , 32MP Front Camera,5000 mAh Battery,Dimensity 7030 Processor
OnePlus Nord CE 3 Lite 5G Chromatic Gray,"26,063","1,869","₹21,999","₹21,696",8 GB RAM ,256 GB ROM,17.07 cm (6.72 inch) Display,,108MP Rear Camera,,5000 mAh Battery,
OnePlus Nord CE 3 Lite 5G Pastel Lime,"26,063","1,869","₹21,999","₹21,799",8 GB RAM ,256 GB ROM,17.07 cm (6.72 inch) Display,,108MP Rear Camera,,5000 mAh Battery,
OnePlus Nord CE 3 Lite 5G Chromatic Gray,"26,063","1,869","₹19,999","₹19,871",8 GB RAM ,128 GB ROM,17.07 cm (6.72 inch) Display,,108MP Rear Camera,,5000 mAh Battery,
OnePlus Nord CE 3 Lite 5G Pastel Lime,"26,063","1,869","₹19,999","₹19,650",8 GB RAM ,128 GB ROM,17.07 cm (6.72 inch) Display,,108MP Rear Camera,,5000 mAh Battery,
MOTOROLA Edge 40 Neo Caneel Bay,"10,720","1,642","₹27,999","₹22,999",8 GB RAM ,128 GB ROM,16.64 cm (6.55 inch) ,,50MP + 13MP , 32MP Front Camera,5000 mAh Battery,Dimensity 7030 Processor
POCO C51 - Locked with Airtel Prepaid Royal Blue,"1,33,361","7,456","₹9,999","₹5,749",4 GB RAM ,64 GB ROM,16.56 cm (6.52 inch) HD+ Display,yes,8MP Dual Rear Camera , 5MP Front Camera,5000 mAh Battery,Helio G36 Processor
