company_names,ratings,area,employees,public_private,reviews,jobs
JustDial,3.5,Internet , 10k-50k Employees , Public ,3.8k,107
Omega Healthcare,3.8,Healthcare , 10k-50k Employees , 20 years old ,3.8k,84
Hero MotoCorp,4.1,Automobile , 5k-10k Employees , Public ,3.8k,7
Hewlett-Packard Enterprise,4.3,Emerging Technologies , 10k-50k Employees , Forbes Global 2000 ,3.8k,60
Megha Engineering & Infrastructures,4.0,Engineering & Construction , 5k-10k Employees , Conglomerate ,3.7k,9
Bajaj Allianz Life Insurance,4.1,Insurance , 10k-50k Employees , 22 years old ,3.7k,30
Mahindra & Mahindra Financial Services,4.3,NBFC , 10k-50k Employees , Public ,3.7k,59
Cyient,3.7,IT Services & Consulting , 10k-50k Employees , Public ,3.6k,287
ICICI Lombard General Insurance Company,3.8,Insurance , 10k-50k Employees , Public ,3.6k,137
D Mart,3.9,Retail , 10k-50k Employees , Fortune India 500 ,3.5k,90
Indiamart Intermesh,3.6,Internet , 1k-5k Employees , 27 years old ,3.5k,909
BigBasket,4.0,Internet , 10k-50k Employees , Indian Unicorn ,3.5k,17
Coforge,3.6,IT Services & Consulting , 10k-50k Employees , Public ,3.5k,190
Hyundai Motor,4.3,Automobile , 10k-50k Employees , Fortune India 500 ,3.5k,17
TVS Motor,4.0,Automobile , 5k-10k Employees , Public ,3.4k,19
Nagarro,4.2,IT Services & Consulting , 10k-50k Employees , 27 years old ,3.4k,120
Reliance Communications,3.9,Telecom , 201-500 Employees , Public ,3.4k,2
Atos Syntel,3.5,IT Services & Consulting , 5k-10k Employees , 43 years old ,3.4k,44
GlobalLogic,3.8,IT Services & Consulting , 10k-50k Employees , 23 years old ,3.4k,80
UST,3.9,IT Services & Consulting , 10k-50k Employees , 22 years old ,3.4k,121
IQVIA,4.1,Clinical Research , 10k-50k Employees , Forbes Global 2000 ,3.4k,42
Manappuram Finance,3.9,NBFC , 10k-50k Employees , Public ,3.3k,5
Bosch,4.3,Auto Components , 10k-50k Employees , Public ,3.3k,10
Bosch Global Software Technologies,4.2,Software Product , 10k-50k Employees , 33 years old ,3.3k,20
SBI Cards & Payment Services,3.7,1k-5k Employees , 25 years old , Gurgaon/Gurugram +308 more,3.3k,130
Cummins,4.4,Auto Components , 5k-10k Employees , Fortune India 500 ,3.3k,48
Virtusa Consulting Services,3.8,IT Services & Consulting , 10k-50k Employees , 27 years old ,3.3k,109
Oyo Rooms,3.4,Hospitality , 1k-5k Employees , Indian Unicorn ,3.3k,171
BT Group,4.1,Telecom , 10k-50k Employees , Forbes Global 2000 ,3.3k,30
BNY Mellon,4.1,Investment Banking / Venture Capital / Private Equity , 10k-50k Employees , Forbes Global 2000 ,3.3k,451
SMFG India Credit,4.1,NBFC , 10k-50k Employees , 16 years old ,3.2k,66
Amdocs,4.0,Software Product , 10k-50k Employees , Forbes Global 2000 ,3.2k,9
Schneider Electric,4.1,Industrial Automation , 10k-50k Employees , Forbes Global 2000 ,3.2k,130
CBRE,4.2,Real Estate , 10k-50k Employees , Forbes Global 2000 ,3.2k,140
Future Group,4.3,Retail , 10k-50k Employees , Conglomerate ,3.2k,16
Cholamandalam Investment & Finance,4.1,NBFC , 5k-10k Employees , Fortune India 500 ,3.1k,23
Intelenet Global Services,3.7,BPO , 10k-50k Employees , 23 years old ,3.1k,--
L&T Technology Services,3.4,IT Services & Consulting , 10k-50k Employees , Public ,3.1k,1
State Bank of India,3.7,Banking , 1 Lakh+ Employees , Fortune India 500 ,3.1k,188
Swiggy,3.9,Internet , 5k-10k Employees , Indian Unicorn ,3.1k,380
JBM Group,4.0,Auto Components , 1k-5k Employees , Public ,3.1k,1
Dell,4.1,Consumer Electronics & Appliances , 10k-50k Employees , Forbes Global 2000 ,3.1k,120
Ecom Express,4.0,Logistics , 10k-50k Employees , 11 years old ,3k,62
Equitas Small Finance Bank,4.2,Banking , 10k-50k Employees , Fortune India 500 ,3k,19
Ekart Logistics,4.0,Logistics , 5k-10k Employees , 14 years old ,3k,--
SBI Life Insurance Company,3.8,Insurance , 10k-50k Employees , 22 years old ,3k,8
Bajaj Auto,3.9,Automobile , 5k-10k Employees , Public ,3k,--
Optum,4.0,Healthcare , 10k-50k Employees , 46 years old ,3k,20
Nagarjuna Construction Company,4.1,Engineering & Construction , 5k-10k Employees , Public ,3k,5
KEC International,4.1,Engineering & Construction , 5k-10k Employees , Public ,3k,1
